"Item #","Item Description",MSP,"Retail Price","Dealer Price","Sale Price","Sale Ends",Quantity,"UPC Code",Manufacturer,"Gun Type","Model Series",Caliber,Action,Capacity,Finish,Stock,Sights,"Barrel Length","Overall Length",Features
GERG2210FF,"ATA GSG FIRFLY 22LR PST BLK",$214.95,$299.95,$214.95,$209.99,12/31/2025,3,#813393019425#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Blue,"Black Grips","Adjustable Rear Sight",3.9,7.2,"Polymer Frame/ Integrated Accessory Rail"
GERG2210FFT,"ATA GSG FIREFLY 22LR PST FDE",$214.95,$299.95,$214.95,$209.99,12/31/2025,0,#813393019555#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Tan,"Black Grips","Adjustable Rear Sight",3.9,7.2,"Tan Polymer Frame/ Integrated Accessory Rail"
GERG2210FFG,"ATA GSG FIRFLY 22LR 10RD GRN",$214.95,$299.95,$214.95,$209.99,12/31/2025,3,#813393019562#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Green,"Black Grips","Adjustable Rear Sight",3.9,7.2,"Green Polymer Frame/ Integrated Accessory Rail"
GERG2210TFFL,"ATA GSG FIRFLY 22LR TB PURPLE",$214.95,$299.95,$214.95,$204.99,12/31/2025,1,#819644022060#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Purple,"Black Grips","Adjustable Rear Sight",4.9,8.2,"Purple Polymer Frame/ Integrated Accessory Rail"
GERG2210TFFS,"ATA GSG FRFLY 22LR 4.9TB GREY",$214.95,$299.95,$214.95,$209.99,12/31/2025,0,#819644027065#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Gray,"Black Grips","Adjustable Rear Sight",4.9,8.2,"Grey Polymer Frame/ Integrated Accessory Rail"
ATIGOMX55615D,"ATA OMNI MAXX P3 5.56 16B DE",$429.99,$550.00,$429.99,$399.99,12/31/2025,32,#819644024057#,"American Tactical Inc","Rifle: Semi-Auto",Omni,"5.56 NATO|223",Semi-Automatic,30+1,Black,"Black 6 Position Stock with Pistol Grip","No Sights","16 M4 Nitride Coated Barrel/ 1-8 Twist","31.25 to 34.875","Davidson's Exclusive /Beveled Mag Well"
ATIGOMX556ML13M,"ATA OMNI 5.56 16B 60RD MLOK BL",$424.99,$499.99,$424.99,$399.99,12/31/2025,81,#810113113005#,"American Tactical Inc","Rifle: Semi-Auto",Omni,"5.56 NATO|223",Semi-Automatic,60+1,Black,"Black 6 Position Stock with Pistol Grip","No Sights","16 Heavy Nitride Coated Barrel/ 1-8 Twist",33.25,"Mid-length Gas System/ 13 MLOK Style Rail"
ATIGOMX556MP3PF,"ATA OMNI MAXX P3P 5.56 16B FDE",$379.95,$499.95,$379.95,$379.95,12/31/2025,0,#819644025535#,"American Tactical Inc","Rifle: Semi-Auto",Omni,"5.56 NATO|223",Semi-Automatic,30+1,FDE,"6 Position Stock with Pistol Grip","No Sights","16 M4 Nitride Coated Barrel/ 1-8 Twist","31.25 to 34.875","Beveled Mag Well"
ATIG12BDB,"ATA BULL-DOG SA 12M/16 5RD",$299.95,$419.95,$299.95,$294.99,12/31/2025,11,#819644026037#,"American Tactical Inc","Shotgun: Semi-Auto",Bull-Dog,"12 GAUGE",Semi-Automatic,"5+1  Detachable Magazine",Black,"Black Polymer Bull Pup","FT:Adjustable Post Rr:Adjustable",18.5,29.5,"Picatinny Rail Systems /Adjustable Cheek Rest"
GERGGSG1622,"ATA GSG-16 CARB 22LR SYN 22RD",$314.95,$429.95,$314.95,$309.99,12/31/2025,0,#819644021476#,"American Tactical Inc","Rifle: Semi-Auto","GSG-16 German Sport Carbine",22LR,Semi-Automatic,22+1,"Matte Black","Black Synthetic Stock with Pistol Grip","Peep Rear/ Front Post Sight",16.28,34.18,"Faux Suppressor/10 MLOK Style Hand Guard/"
ATIG12NMD18,"ATA NOMAD SNGSHT 12GA 18.5B",$79.95,$109.95,$79.95,$77.99,12/31/2025,0,#819644021551#,"American Tactical Inc","Shotgun: Single Shot",Nomad,"12 GAUGE","Single Shot",1,Blue,"Black Synthetic",Bead,18.5,33.5,
ATIG12NMD28,"ATA NOMAD SNGSHT 12GA 28B",$79.95,$109.95,$79.95,$77.99,11/30/2024,0,#819644021568#,"American Tactical Inc","Shotgun: Single Shot",Nomad,"12 GAUGE","Single Shot",1,Blue,"Black Synthetic",Bead,28,43.5,
ATIG20NMD18,"ATA NOMAD SNGSHT 20GA 18.5B",$79.95,$109.95,$79.95,$77.99,12/31/2025,0,#819644021575#,"American Tactical Inc","Shotgun: Single Shot",Nomad,"20 GAUGE","Single Shot",1,Blue,"Black Synthetic",Bead,18.5,31.5,
ATIG20NMD26,"ATA NOMAD SNGSHT 20GA 26B",$79.95,$109.95,$79.95,$77.99,12/31/2025,0,#819644021582#,"American Tactical Inc","Shotgun: Single Shot",Nomad,"20 GAUGE","Single Shot",1,Blue,"Black Synthetic",Bead,26,41.5,
ATIG410NMD26,"ATA NOMAD SNGSHT410GA 26B",$79.95,$109.95,$79.95,$77.99,12/31/2024,0,#819644021605#,"American Tactical Inc","Shotgun: Single Shot",Nomad,410,"Single Shot",1,Blue,"Black Synthetic",Bead,26,41.5,
ATIGKOF12TF28C,"ATA WATERFOWL OU 12/28 BOTMLND",$549.99,$739.95,$549.99,$324.99,12/31/2025,0,#810113111902#,"American Tactical Inc","Shotgun: Over and Under",Cavalry,"12 GAUGE","Over & Under",2,Blue,Bottomland,"Ft: Fiber Optic",28,45.5,"Chrome Lined Barrel/Ejectors"
ATIGKOF20TF26CC,"ATA WATERFOWL OU 20/26 BOTMLND",$549.99,$739.95,$549.99,$324.99,12/31/2024,0,#810113112268#,"American Tactical Inc","Shotgun: Over and Under",Cavalry,"20 GAUGE","Over & Under",2,Blue,Bottomland,"Ft: Fiber Optic",26,43.5,"Chrome Lined Barrel/Ejectors"
ATIGKOF20TF28C,"ATA WATERFOWL OU 20/28 BOTMLND",$549.99,$739.95,$549.99,$324.99,12/31/2025,5,#810113112251#,"American Tactical Inc","Shotgun: Over and Under",Cavalry,"20 GAUGE","Over & Under",2,Blue,Bottomland,"Ft: Fiber Optic",28,45.5,"Chrome Lined Barrel/Ejectors"
ATIARWRENCH2D,"ATA WRENCH ARMORER TOOL AR15 2",$16.95,$26.95,$16.95,$16.49,12/31/2025,0,#819644027348#,"American Tactical Inc",,,,,,"Non-Slip Finish/Carbon Steel Construction",,,,,"Features a Castle Nut Wrench"
GFT-114,"AMG RNG FOPT GN/BLK GL1-4",$30.99,$52.00,$30.99,,,2,#644406904465#,Ameriglo,,Range,,,,,,,,,"Fits:GEN 1-4 9MM/40/380/ GEN 5 10M/45"
GL-119,"AMG CLS TRIT NS GL21/36 GN/GN",$59.99,$102.00,$59.99,,,1,#644406900344#,Ameriglo,,Classic,,,,,,,,,"Fits:GEN 1-4 10M/45/357/20/21/29/30/31/32/36"
SW-145,"AMG CLS TRIT NS S&W SHL GN/GN",$59.99,$102.00,$59.99,,,1,#644406905998#,Ameriglo,,Classic,,,,,,,,,"Fits S&W M&P Shield/ excludes EZ"
GL-430,"AMG CLS TRIT NS GL 42-43 GN/GN",$59.99,$102.00,$59.99,,,3,#644406908746#,Ameriglo,,Classic,,,,,,"FF:Grn Tritium White Outline/RR:Grn Trit w/2dot",,,"Classic Tritium Sight for Glock 42/43/43X/48"
GL-433,"AMG PRO TRIT NS GL1-4 GN/OR",$48.99,$82.00,$48.99,,,3,#644406903246#,Ameriglo,,Protector,,,,,,,,,"Fits:GLK 17/19/22/23/24/26/27/33/34/35/37/38/39"
GL-436,"AMG PRO TRIT NS GL 42/43 GN/OR",$48.99,$82.00,$48.99,,,6,#644406908807#,Ameriglo,,Protector,,,,,,,,,"Fits Glock 42/43/43X/48"
GL-5433,"AMG PRO TRIT NS GL 5 GN/OR",$48.99,$82.00,$48.99,,,7,#644406911036#,Ameriglo,,Protector,,,,,,,,,"Fits GLK GEN 5 9M/40"
SW-443,"AMG PRO TRIT NS S&W SHL OR/GN",$48.99,$82.00,$48.99,,,2,#644406906575#,Ameriglo,,Protector,,,,,,"Night Sight",,,"Fits S&W M&P Shield/Excludes EZ"
GL-816,"AMG TRO TRIT NS GL1-4 G5 GN/OR",$72.99,$123.00,$72.99,$68.49,11/30/2024,0,#644406911302#,Ameriglo,,Trooper,,,,,,"Green Frt W/Orange Pro-Glo Outline/Serrated Rear",,,"Fits:GEN 1-4 9M/40/380 /GEN 5 10M/45"
GL-817,"AMG TRO TRIT NS GL1-4 GN/OR",$72.99,$123.00,$72.99,$66.59,11/30/2024,4,#644406911319#,Ameriglo,,Trooper,,,,,,"Green Front W/Orange Pro-Glo Outline/Green Rear",,,"Fits:GLK GEN 1-4 10M/45/357"
GL-818,"AMG TRO TRIT NS GL5 GN/OR",$72.99,$123.00,$72.99,,,3,#644406911326#,Ameriglo,,Trooper,,,,,,,,,"Fits GEN 5 9M/40/ 17/19"
GL-819,"AMG TRO TRIT NS GL1-4 GN/GN",$72.99,$123.00,$72.99,,,2,#644406911340#,Ameriglo,,Trooper,,,,,,"Green Front W/Lime Green Lumi Outline/Green Rear",,,"GEN 1-4: MOS 17/19/22/23/24/26/27/33/34/35/37/38/39"
GL-820,"AMG TRO TRIT NS GL1-4 GN/GN",$72.99,$123.00,$72.99,$68.49,11/30/2024,4,#644406911357#,Ameriglo,,Trooper,,,,,,"Green Front W/LumiGreen Outline/Green Rear",,,"Fits: GEN 1-4 20/21/29/30/31/32/36/40/41"
GL-821,"AMG TRO TRIT NS GL5 GN/GN",$72.99,$123.00,$72.99,,,4,#644406911364#,Ameriglo,,Trooper,,,,,,"Green Front w/LumiGreen Outline/ Green Rear",,,"Fits:GLK GEN 5/17/19/19X/26/45"
GL-822,"AMG TRO TRIT NS GL 43 GN/GN",$72.99,$123.00,$72.99,,,3,#64406911371#,Ameriglo,,Trooper,,,,,,"Green Front W/LumiGreen Outline/Green Rear",,,"Fits: GLK 42/43/43X/48"
GL-823,"AMG TRO TRIT NS GL 43 OR/GN",$72.99,$123.00,$72.99,,,1,#644406911333#,Ameriglo,,Trooper,,,,,,"Green Front W/Orange Pro-Glo Outline/Green Rear",,,"Fits:Glk 42/43/43x/48"
GL-201,"AMG I-DOT TRIT NS GL1-4 GN/OR",$59.99,$102.00,$59.99,$55.99,11/30/2024,0,#644406903055#,Ameriglo,,i-Dot,,,,,,"Green Front/Orange Outline/Green single-dot Rear",,,"Fits GEN 1-4 9MM/40/380/ GEN5 10M/45"
ACG-57013,"GLK 17G5 9MM 17RD DDE",$549.99,$799.99,$549.99,,,0,#850016570130#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Davidsons Dark Earth","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57014,"GLK 17G5 9MM 17RD DDE BLK",$549.99,$799.99,$549.99,,,0,#850016570147#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Black","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57015,"GLK 17G5 9MM 17RD DDE PATB",$549.99,$799.99,$549.99,,,14,#850016570154#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Patriot Brown","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57017,"GLK 17G5 9MM 17RD GOLD SLIDE",$529.99,$779.99,$529.99,,,9,#850016570178#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Gold","Black Polymer","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57075,"GLK 17G5 9MM 17R BLK CHRY BLK",$549.99,$799.99,$549.99,,,12,#850016570758#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Armor Black","Cerakote Black Cherry","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57018,"GLK 17G5 9MM 17RD SA SLIDE",$529.99,$779.99,$529.99,,,0,#850016570185#,"Apollo Custom|Glock","Pistol: Semi-Auto",17,"9MM LUGER","Safe Action",17+1,"Cerakote Satin Aluminum","Black Polymer","FT: White Dot RR: White Outline",4.49,7.32,"Apollo Custom Edition"
ACG-57067,"GLK 19G5 9MM 15RD BLK CHRY BLK",$549.99,$799.99,$549.99,,,4,#850016570673#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Black","Cerakote Black Cherry","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57033,"GLK 19G5 9MM 15RD CONGRY SMOKE",$549.99,$799.99,$549.99,,,0,#850016570338#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Elite Smoke","Cerakote Concrete Gray","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57020,"GLK 19G5 9MM 15RD DDE",$549.99,$799.99,$549.99,,,7,#850016570208#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Davidsons Dark Earth","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57021,"GLK 19G5 9MM 15RD DDE BLK",$549.99,$799.99,$549.99,,,19,#850016570215#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Black","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57022,"GLK 19G5 9MM 15RD DDE PATB",$549.99,$799.99,$549.99,,,17,#850016570222#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Patriot Brown","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57031,"GLK 19G5 9MM 15RD GOLD SLIDE",$529.99,$779.99,$529.99,,,12,#850016570314#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Gold","Black Polymer","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57023,"GLK 19G5 9MM 15RD PINK BLK",$549.99,$799.99,$549.99,,,0,#850016570239#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Black","Cerakote Pink Champagne","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57024,"GLK 19G5 9MM 15RD PINK SA",$549.99,$799.99,$549.99,,,3,#850016570246#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Satin Aluminum","Cerakote Pink Champagne Champagne","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57025,"GLK 19G5 9MM 15RD PURP BLK",$549.99,$799.99,$549.99,,,0,#850016570253#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Black","Cerakote Purple","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57026,"GLK 19G5 9MM 15RD PURP SA",$549.99,$799.99,$549.99,,,19,#850016570260#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Satin Aluminum","Cerakote Purple","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57027,"GLK 19G5 9MM 15RD RBEG BLK",$549.99,$799.99,$549.99,,,0,#850016570277#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Black","Cerakote Robin's Egg Blue","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57028,"GLK 19G5 9MM 15RD RBEG SA",$549.99,$799.99,$549.99,,,0,#850016570284#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Satin Aluminum","Cerakote Robin's Egg Blue","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-57032,"GLK 19G5 9MM 15RD SA SLIDE",$529.99,$779.99,$529.99,,,25,#850016570321#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Satin Aluminum","Black Polymer","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition"
ACG-00819,"GLK 42 380 6RD DDE",$419.99,$599.99,$419.99,,,0,#850386008196#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Davidsons Dark Earth","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00837,"GLK 42 380 6RD DDE BLK",$419.99,$599.99,$419.99,,,0,#850386008370#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Black","Cerakote DDE","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-57055,"GLK 42 380 6RD ORC SA",$419.99,$599.99,$419.99,,,0,#850016570550#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Crushed Orchid","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00846,"GLK 42 380 6RD PINK SA",$419.99,$599.99,$419.99,,,0,#850386008462#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Pink Champagne","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00855,"GLK 42 380 6RD PURP BLK",$419.99,$599.99,$419.99,,,0,#850386008554#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Black","Cerakote Purple","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00852,"GLK 42 380 6RD PURP SA",$419.99,$599.99,$419.99,,,0,#850386008523#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Purple","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00834,"GLK 42 380 6RD RBEG BLK",$419.99,$599.99,$419.99,,,32,#850386008349#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Black","Cerakote Robins Egg Blue","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-00814,"GLK 42 380 6RD RBEG SA",$419.99,$599.99,$419.99,,,15,#850386008141#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Robins Egg Blue","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-57095,"GLK 42 380 6RD LIBERTY BAR BRN",$419.99,$649.99,$419.99,,,0,#850016570956#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Barrett Brown","Cerakote Barrett Brown Liberty Engraving","FT: White Dot RR: White Outline",3.26,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-57069,"GLK 43 9MM 6R DAISY RAS BLU SA",$489.99,$639.99,$489.99,,,25,#850016570697#,"Apollo Custom|Glock","Pistol: Semi-Auto",43,"9MM LUGER","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Raspberry Blue Daisy Engraved","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition/ Daisy Engraving"
ACG-57070FRN,"GLK 43X 9MM 10R ROSE RG SA RL",$489.99,$699.99,$489.99,,,0,#850059793183#,"Apollo Custom|Glock","Pistol: Semi-Auto",43X,"9MM LUGER","Safe Action",10+1,"Cerakote Shimmering Aluminum","Cerakote Rose Gold/ Rose Engraved","FT: White Dot RR: White Outline",3.41,6.50,"Apollo Custom Edition/ Rose and Scroll Engraving"
ACG-57089,"GLK 43 9MM 6R B&W CK SA",$489.99,$639.99,$489.99,,,0,#850016570895#,"Apollo Custom|Glock","Pistol: Semi-Auto",43,"9MM LUGER","Safe Action",6+1,"Cerakote Cow Pattern",Cerakote,"FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition/ Cow Pattern"
ACG-57090,"GLK 42 380 6RD DISTR FLAG",$419.99,$649.99,$419.99,,,40,#850016570901#,"Apollo Custom|Glock","Pistol: Semi-Auto",42,"380 AUTO","Safe Action",6+1,"Cerakote Distressed Flag","Cerakote Distressed Flag","FT: White Dot RR: White Outline",3.25,5.98,"Apollo Custom Edition/ Made in the USA"
ACG-57096,"GLK 19 9MM 15R LIBERTY BAR BRN",$574.99,$849.99,$574.99,,,22,#850016570963#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Barrett Brown","Cerakote Barrett Brown Liberty Engraved","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition/ Liberty Engraving"
ACG-57082,"GLK 19 9MM 15R LEAF OD BRN",$574.99,$849.99,$574.99,,,11,#850016570826#,"Apollo Custom|Glock","Pistol: Semi-Auto",19,"9MM LUGER","Safe Action",15+1,"Cerakote Chocolate Brown","Cerakote OD Green Leaf Engraved","FT: White Dot RR: White Outline",4.02,6.85,"Apollo Custom Edition/ Leaf Engraving"
ACG-00825,"GLK 43 9MM 6RD DDE",$459.99,$669.99,$459.99,,,27,#850386008257#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Davidsons Dark Earth","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00858,"GLK 43 9MM 6RD DDE PATB",$459.99,$669.99,$459.99,,,0,#850386008585#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Patriot Brown","Cerakote Davidsons Dark Earth","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-57004,"GLK 43 9MM 6RD GOLD SLIDE",$449.99,$649.99,$449.99,,,13,#850016570048#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Gold","Black Polymer","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00850,"GLK 43 9MM 6RD PINK BLK",$459.99,$669.99,$459.99,,,14,#850386008509#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Black","Cerakote Pink Champagne","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00847,"GLK 43 9MM 6RD PINK SA",$459.99,$669.99,$459.99,,,6,#850386008479#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Champagne Pink","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00856,"GLK 43 9MM 6RD PURP BLK",$459.99,$669.99,$459.99,,,0,#850386008561#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Black","Cerakote Purple","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00853,"GLK 43 9MM 6RD PURP SA",$459.99,$669.99,$459.99,,,0,#850386008530#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Purple","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00835,"GLK 43 9MM 6RD RBEG BLK",$459.99,$669.99,$459.99,,,5,#850386008356#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Black","Cerakote Robins Egg Blue","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
ACG-00815,"GLK 43 9MM 6RD RBEG SA",$459.99,$669.99,$459.99,,,12,#850386008158#,"Apollo Custom|Glock","Pistol: Semi-Auto","43 USA","9MM LUGER","Safe Action",6+1,"Cerakote Satin Aluminum","Cerakote Robins Egg Blue","FT: White Dot RR: White Outline",3.41,6.26,"Apollo Custom Edition"
